Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, 15, 2134.376464843750000000, 884.102233886718750000, 0.002563476562500000, 348.259765625000000000, 142769, 33.5, 1764
C, fibr, 15, 2139.183410644531250000, 882.039855957031250000, 0.002624511718750000, 348.988098144531250000, 143091, 32.8, 1696
C, fibr, 15, 2139.107177734375000000, 881.657714843750000000, 0.003417968750000000, 348.957641601562500000, 143087, 33.2, 1768
C, fibr, 15, 2145.876403808593750000, 883.209594726562500000, 0.002563476562500000, 350.119934082031250000, 143541, 33.0, 1804
C, fibr, 15, 2142.759521484375000000, 881.895996093750000000, 0.002624511718750000, 349.537597656250000000, 143331, 33.5, 1648
C, fibr, 15, 2139.088562011718750000, 883.227294921875000000, 0.003540039062500000, 349.017272949218750000, 143087, 33.2, 1668
C, fibr, 15, 2137.453186035156250000, 881.532104492187500000, 0.002563476562500000, 348.710266113281250000, 142978, 32.5, 1672
C, fibr, 15, 2135.715148925781250000, 881.000305175781250000, 0.002624511718750000, 348.482971191406250000, 142885, 32.8, 1764
C, fibr, 15, 2138.890502929687500000, 883.467468261718750000, 0.003479003906250000, 349.146667480468750000, 143108, 33.0, 1768
C, fibr, 15, 2132.836853027343750000, 883.988586425781250000, 0.002624511718750000, 348.164794921875000000, 142717, 33.5, 1668
