Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fibr, -1, 1342.283813476562500000, 152.743469238281250000, 0.002502441406250000, 447.663574218750000000, 183396, 27.5, 1692
C, fibr, -1, 1341.198181152343750000, 152.974792480468750000, 0.001892089843750000, 447.779602050781250000, 183420, 28.5, 1592
C, fibr, -1, 1329.141723632812500000, 152.505859375000000000, 0.001953125000000000, 447.758483886718750000, 183393, 27.8, 1688
C, fibr, -1, 1325.795898437500000000, 152.036193847656250000, 0.001892089843750000, 447.760620117187500000, 183397, 28.2, 1816
C, fibr, -1, 1331.271972656250000000, 151.619567871093750000, 0.002502441406250000, 447.809997558593750000, 183427, 27.2, 1732
C, fibr, -1, 1338.749816894531250000, 153.364135742187500000, 0.001953125000000000, 447.700500488281250000, 183384, 27.5, 1764
C, fibr, -1, 1330.232360839843750000, 151.800109863281250000, 0.001953125000000000, 448.900878906250000000, 183876, 27.8, 1816
C, fibr, -1, 1338.145568847656250000, 153.492614746093750000, 0.002014160156250000, 447.716369628906250000, 183381, 27.8, 1668
C, fibr, -1, 1342.957153320312500000, 152.981079101562500000, 0.002502441406250000, 447.799194335937500000, 183428, 27.8, 1716
C, fibr, -1, 1319.511352539062500000, 150.491821289062500000, 0.001953125000000000, 447.766174316406250000, 183422, 28.0, 1592
